{'.id': '*771CE8', 'type': 'A', 'data': '202.6.211.33', 'name': 'vpn.tarumanagara.com', 'ttl': '1h', 'static': True, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E3A', 'type': 'NS', 'data': 'ns2.neoip.com', 'name': 'sl', 'ttl': '30s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E3B', 'type': 'NS', 'data': 'ns1.neoip.com', 'name': 'sl', 'ttl': '30s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E3F', 'type': 'TXT', 'data': '"Generation Time: 1700554510"', 'name': 'sl', 'ttl': '30s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E7F', 'type': 'TXT', 'data': '"miro-verification=2494d255c4c50b1e521650a0659cbf3fa08b0072"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E80', 'type': 'TXT', 'data': '"atlassian-domain-verification=mLabq99iaT8kquJechF6l31FAYoNUe3WB7tLpLFUiUYVJCse9SKq83hOJzFkwqrh"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E81', 'type': 'TXT', 'data': '"webexdomainverification.8C462=b728ec3f-dfc9-42f9-92cb-9ba8853cbee8"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E82', 'type': 'TXT', 'data': '"Dynatrace-site-verification=7d881a7c-c13f-4146-9d27-2731459e2509__iqls0105tagglcsaul0m16ibrf"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E83', 'type': 'TXT', 'data': '"google-site-verification=L5kkMdiFI8npvb6KlHui84fJaCw5G64DWhaDRIAT4_c"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E84', 'type': 'TXT', 'data': '"google-site-verification=zBSq1mG5ssu2If-C17UAz_MzSZDcx03MVxmeDwMNc5w"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E85', 'type': 'TXT', 'data': '"apple-domain-verification=X5Jt76bn3Dnmgzjj"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
{'.id': '*771E86', 'type': 'TXT', 'data': '"google-site-verification=8M6XjQCzydT62jk8HY3VXPAG-nKDllTRV-JpA3-Ktyw"', 'name': 'apple.com', 'ttl': '4s', 'static': False, 'timestamp': '2023-11-21 14:36:35 WIB'}
