{'.id': '*F7FD1', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F7FD2', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F7FD3', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F7FD4', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5A7', 'type': 'NS', 'data': 'k.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5A8', 'type': 'NS', 'data': 'b.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5A9', 'type': 'NS', 'data': 'l.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5AA', 'type': 'NS', 'data': 'e.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5AB', 'type': 'NS', 'data': 'm.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5AC', 'type': 'NS', 'data': 'f.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5AD', 'type': 'NS', 'data': 'd.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5AE', 'type': 'NS', 'data': 'g.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5AF', 'type': 'NS', 'data': 'c.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5B0', 'type': 'NS', 'data': 'a.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5B1', 'type': 'NS', 'data': 'i.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5B2', 'type': 'NS', 'data': 'h.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5B3', 'type': 'NS', 'data': 'j.root-servers.net', 'name': '', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*C5D5B4', 'type': 'A', 'data': '198.41.0.4', 'name': 'a.root-servers.net', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*E87747', 'type': 'AAAA', 'data': '2001:4860:4802:32::a', 'name': 'ns1.google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EA311D', 'type': 'AAAA', 'data': '2001:503:ba3e::2:30', 'name': 'a.root-servers.net', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EA311E', 'type': 'AAAA', 'data': '2001:500:84::b', 'name': 'b.root-servers.net', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EA311F', 'type': 'AAAA', 'data': '2001:500:2::c', 'name': 'c.root-servers.net', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EA3120', 'type': 'AAAA', 'data': '2001:500:2d::d', 'name': 'd.root-servers.net', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EA3121', 'type': 'AAAA', 'data': '2001:500:a8::e', 'name': 'e.root-servers.net', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EA3122', 'type': 'AAAA', 'data': '2001:500:2f::f', 'name': 'f.root-servers.net', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EA3123', 'type': 'AAAA', 'data': '2001:500:12::d0d', 'name': 'g.root-servers.net', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EB2768', 'type': 'AAAA', 'data': '2001:4860:4802:38::a', 'name': 'ns4.google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EB568E', 'type': 'A', 'data': '216.239.38.10', 'name': 'ns4.google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EE46F5', 'type': 'AAAA', 'data': '2001:500:1::53', 'name': 'h.root-servers.net', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*EEF93C', 'type': 'A', 'data': '198.97.190.53', 'name': 'h.root-servers.net', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F1EF26', 'type': 'A', 'data': '192.33.4.12', 'name': 'c.root-servers.net', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F1EF27', 'type': 'A', 'data': '192.112.36.4', 'name': 'g.root-servers.net', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F24FFB', 'type': 'AAAA', 'data': '2001:4860:4802:34::a', 'name': 'ns2.google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F24FFC', 'type': 'AAAA', 'data': '2001:4860:4802:36::a', 'name': 'ns3.google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F25301', 'type': 'A', 'data': '216.239.36.10', 'name': 'ns3.google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F33748', 'type': 'AAAA', 'data': '2001:500:200::b', 'name': 'b.root-servers.net', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F45539', 'type': 'A', 'data': '199.7.91.13', 'name': 'd.root-servers.net', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F52CC4', 'type': 'A', 'data': '216.239.34.10', 'name': 'ns2.google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F57B6A', 'type': 'A', 'data': '192.5.5.241', 'name': 'f.root-servers.net', 'ttl': '15m', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F584A9', 'type': 'A', 'data': '216.239.32.10', 'name': 'ns1.google.com', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F915F4', 'type': 'A', 'data': '27.54.116.70', 'name': 'trustpositif.kominfo.go.id', 'ttl': '14m48s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D08C', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'youtube.com', 'ttl': '13m54s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D08D', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'youtube.com', 'ttl': '13m54s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D08E', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'youtube.com', 'ttl': '13m54s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D08F', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'youtube.com', 'ttl': '13m54s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D8FF', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'googleapis.com', 'ttl': '14m50s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D900', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'googleapis.com', 'ttl': '14m50s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D901', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'googleapis.com', 'ttl': '14m50s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D902', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'googleapis.com', 'ttl': '14m50s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9D9AE', 'type': 'A', 'data': '216.239.38.120', 'name': 'forcesafesearch.google.com', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9E611', 'type': 'CNAME', 'data': 'e8652.dscx.akamaiedge.net', 'name': 'crl.root-x1.letsencrypt.org.edgekey.net', 'ttl': '7m24s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*F9E648', 'type': 'CNAME', 'data': 'e86303.dscx.akamaiedge.net', 'name': 'www.bing.com.edgekey.net', 'ttl': '11m25s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*FA0BB9', 'type': 'CNAME', 'data': 'config-teams.s-0005.s-msedge.net', 'name': 's-0005-teams.config.skype.com', 'ttl': '14m31s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
{'.id': '*FA221B', 'type': 'A', 'data': '8.8.8.8', 'name': 'dns.google', 'ttl': '11m55s', 'static': False, 'timestamp': '2023-11-17 09:37:56 WIB'}
