{'.id': '*1', 'type': 'A', 'data': '202.148.6.185', 'name': 'kurnia.id', 'ttl': '1d', 'static': True, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*3', 'type': 'A', 'data': '202.148.6.185', 'name': 'www.kurnia.id', 'ttl': '1d', 'static': True, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0F7', 'type': 'NS', 'data': 'a.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0F8', 'type': 'NS', 'data': 'l.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0F9', 'type': 'NS', 'data': 'g.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0FA', 'type': 'NS', 'data': 'j.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0FB', 'type': 'NS', 'data': 'f.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0FC', 'type': 'NS', 'data': 'b.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0FD', 'type': 'NS', 'data': 'd.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0FE', 'type': 'NS', 'data': 'h.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED0FF', 'type': 'NS', 'data': 'c.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED100', 'type': 'NS', 'data': 'e.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED101', 'type': 'NS', 'data': 'm.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED102', 'type': 'NS', 'data': 'k.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED103', 'type': 'NS', 'data': 'i.root-servers.net', 'name': '', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED104', 'type': 'A', 'data': '198.41.0.4', 'name': 'a.root-servers.net', 'ttl': '14m58s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED112', 'type': 'A', 'data': '84.16.66.164', 'name': 'caserne.ch', 'ttl': '6m9s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED13F', 'type': 'A', 'data': '23.227.38.72', 'name': 'carsero.com', 'ttl': '6m42s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED18F', 'type': 'A', 'data': '83.217.71.219', 'name': 'prinssen.net', 'ttl': '6m43s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED1D3', 'type': 'A', 'data': '175.126.123.219', 'name': 'mailaccaunt1.co.cc', 'ttl': '8m46s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED1D4', 'type': 'A', 'data': '209.133.201.74', 'name': 'fcr.com.br', 'ttl': '11m13s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED1E0', 'type': 'A', 'data': '45.86.220.151', 'name': 'forestcompany.ro', 'ttl': '12m24s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED20B', 'type': 'A', 'data': '195.133.45.237', 'name': 'strtbiz.site', 'ttl': '14m32s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED20C', 'type': 'A', 'data': '3.64.163.50', 'name': 'myphotos.xyz', 'ttl': '0s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED211', 'type': 'A', 'data': '198.185.159.144', 'name': 'feelingmoney.com', 'ttl': '13s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED212', 'type': 'A', 'data': '198.49.23.144', 'name': 'feelingmoney.com', 'ttl': '13s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED213', 'type': 'A', 'data': '198.185.159.145', 'name': 'feelingmoney.com', 'ttl': '13s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED214', 'type': 'A', 'data': '198.49.23.145', 'name': 'feelingmoney.com', 'ttl': '13s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED23D', 'type': 'A', 'data': '139.162.212.131', 'name': 'dartspeak.xyz', 'ttl': '1m54s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED265', 'type': 'A', 'data': '50.31.174.86', 'name': 'smartech.pe', 'ttl': '3m53s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED2A8', 'type': 'A', 'data': '107.178.223.183', 'name': 'senourth.com', 'ttl': '3m36s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED2A9', 'type': 'A', 'data': '104.155.138.21', 'name': 'senourth.com', 'ttl': '3m36s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED328', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'google.com', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED329', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'google.com', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED32A', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'google.com', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED32B', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'google.com', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED32C', 'type': 'A', 'data': '216.239.32.10', 'name': 'ns1.google.com', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED32D', 'type': 'A', 'data': '216.239.34.10', 'name': 'ns2.google.com', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED32E', 'type': 'A', 'data': '216.239.38.10', 'name': 'ns4.google.com', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED32F', 'type': 'A', 'data': '216.239.36.10', 'name': 'ns3.google.com', 'ttl': '2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED4A3', 'type': 'A', 'data': '199.59.243.225', 'name': 'wchampmuse.pw', 'ttl': '3m11s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED57E', 'type': 'A', 'data': '139.162.212.131', 'name': 'mobigifs.xyz', 'ttl': '3m2s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED615', 'type': 'A', 'data': '154.216.89.133', 'name': 'bgnt.net', 'ttl': '2m25s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED6A6', 'type': 'A', 'data': '127.0.0.1', 'name': 'takebad1.com', 'ttl': '3s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED6CD', 'type': 'A', 'data': '139.162.212.131', 'name': 'onlinegt.xyz', 'ttl': '32s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED82C', 'type': 'A', 'data': '139.162.212.131', 'name': '1abcnews.xyz', 'ttl': '5m26s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED864', 'type': 'A', 'data': '139.162.212.131', 'name': 'gamesone.xyz', 'ttl': '6m22s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED868', 'type': 'A', 'data': '91.184.0.52', 'name': 'bouwproductenonline.nl', 'ttl': '3m22s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED87A', 'type': 'A', 'data': '139.162.212.131', 'name': 'my1story.xyz', 'ttl': '9m15s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED87F', 'type': 'A', 'data': '35.204.181.10', 'name': 'bestony.club', 'ttl': '13s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED883', 'type': 'A', 'data': '93.90.145.102', 'name': 'sspab.se', 'ttl': '9m42s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED891', 'type': 'A', 'data': '127.0.0.1', 'name': '7standby.com', 'ttl': '13s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED8BC', 'type': 'A', 'data': '172.67.183.77', 'name': 'afrizion.com', 'ttl': '3m17s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED8BD', 'type': 'A', 'data': '104.21.18.196', 'name': 'afrizion.com', 'ttl': '3m17s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED8DC', 'type': 'A', 'data': '205.251.198.61', 'name': 'ns-1597.awsdns-07.co.uk', 'ttl': '10m44s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED8DD', 'type': 'A', 'data': '205.251.197.26', 'name': 'ns-1306.awsdns-35.org', 'ttl': '10m44s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED8DE', 'type': 'A', 'data': '205.251.194.154', 'name': 'ns-666.awsdns-19.net', 'ttl': '10m44s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED8DF', 'type': 'A', 'data': '205.251.193.162', 'name': 'ns-418.awsdns-52.com', 'ttl': '10m44s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED904', 'type': 'A', 'data': '10.10.10.10', 'name': 'mailsystem256.co.cc', 'ttl': '1m45s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED997', 'type': 'A', 'data': '207.60.34.9', 'name': 'hxlb.net', 'ttl': '2m37s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED9B6', 'type': 'A', 'data': '83.166.135.156', 'name': 'teishi.ch', 'ttl': '11m15s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED9B7', 'type': 'A', 'data': '3.64.163.50', 'name': 'mobstore.xyz', 'ttl': '11m18s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*ED9F5', 'type': 'A', 'data': '34.174.61.199', 'name': 'specialword.xyz', 'ttl': '3m47s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA05', 'type': 'A', 'data': '38.177.214.84', 'name': 'bzsx.net', 'ttl': '5m18s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA09', 'type': 'A', 'data': '127.0.0.1', 'name': 'spgames.site', 'ttl': '23s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA1D', 'type': 'A', 'data': '139.162.212.131', 'name': 'fanmusic.xyz', 'ttl': '6m56s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA25', 'type': 'A', 'data': '139.162.212.131', 'name': 'picsgifs.xyz', 'ttl': '6m16s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA4B', 'type': 'A', 'data': '103.224.212.210', 'name': 'zancetom.com', 'ttl': '49s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA52', 'type': 'A', 'data': '139.162.212.131', 'name': 'sitestory.xyz', 'ttl': '5m40s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA57', 'type': 'A', 'data': '127.0.0.1', 'name': 'cloudsond.me', 'ttl': '17s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA6B', 'type': 'CNAME', 'data': 'dsdfjpjbkxhyv.cloudfront.net', 'name': 'phe-phe.com', 'ttl': '44s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA77', 'type': 'A', 'data': '3.130.253.23', 'name': 'hdr-nlb5-4e815dd67a14bf7f.elb.us-east-2.amazonaws.com', 'ttl': '1m24s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
{'.id': '*EDA78', 'type': 'A', 'data': '3.130.204.160', 'name': 'hdr-nlb5-4e815dd67a14bf7f.elb.us-east-2.amazonaws.com', 'ttl': '1m24s', 'static': False, 'timestamp': '2023-11-21 13:35:04 WIB'}
