{'.id': '*1', 'type': 'A', 'data': '202.148.6.185', 'name': 'kurnia.id', 'ttl': '1d', 'static': True, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*3', 'type': 'A', 'data': '202.148.6.185', 'name': 'www.kurnia.id', 'ttl': '1d', 'static': True, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB00', 'type': 'NS', 'data': 'j.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB01', 'type': 'NS', 'data': 'f.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB02', 'type': 'NS', 'data': 'b.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB03', 'type': 'NS', 'data': 'd.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB04', 'type': 'NS', 'data': 'h.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB05', 'type': 'NS', 'data': 'c.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB06', 'type': 'NS', 'data': 'e.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB07', 'type': 'NS', 'data': 'm.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB08', 'type': 'NS', 'data': 'k.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB09', 'type': 'NS', 'data': 'i.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB0A', 'type': 'NS', 'data': 'a.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB0B', 'type': 'NS', 'data': 'l.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB0C', 'type': 'NS', 'data': 'g.root-servers.net', 'name': '', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB0D', 'type': 'A', 'data': '198.41.0.4', 'name': 'a.root-servers.net', 'ttl': '14m59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB46', 'type': 'A', 'data': '139.162.212.131', 'name': 'my1story.xyz', 'ttl': '10m39s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB5A', 'type': 'A', 'data': '3.141.96.53', 'name': 'weirdgames.info', 'ttl': '3m', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB5B', 'type': 'A', 'data': '3.20.137.44', 'name': 'weirdgames.info', 'ttl': '3m', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB7B', 'type': 'A', 'data': '23.227.38.72', 'name': 'carsero.com', 'ttl': '7m19s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB89', 'type': 'A', 'data': '38.177.214.84', 'name': 'bzsx.net', 'ttl': '1m13s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB90', 'type': 'A', 'data': '139.162.212.131', 'name': 'picsgifs.xyz', 'ttl': '2m1s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB97', 'type': 'A', 'data': '75.2.115.196', 'name': 'ecards-passion.net', 'ttl': '34s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB9A', 'type': 'A', 'data': '139.162.212.131', 'name': 'gamesone.xyz', 'ttl': '9m51s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECB9F', 'type': 'A', 'data': '104.21.18.196', 'name': 'afrizion.com', 'ttl': '1m51s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECBA0', 'type': 'A', 'data': '172.67.183.77', 'name': 'afrizion.com', 'ttl': '1m51s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECBD3', 'type': 'A', 'data': '83.166.135.156', 'name': 'teishi.ch', 'ttl': '12m', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECBD8', 'type': 'A', 'data': '209.133.201.74', 'name': 'fcr.com.br', 'ttl': '12m8s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECBE4', 'type': 'A', 'data': '199.59.243.225', 'name': 'wchampmuse.pw', 'ttl': '3m57s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECBE5', 'type': 'A', 'data': '83.217.71.219', 'name': 'prinssen.net', 'ttl': '9m47s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECBF6', 'type': 'A', 'data': '45.86.220.151', 'name': 'forestcompany.ro', 'ttl': '12m50s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC02', 'type': 'A', 'data': '175.126.123.219', 'name': 'mailaccaunt1.co.cc', 'ttl': '12m8s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC11', 'type': 'A', 'data': '195.133.45.237', 'name': 'strtbiz.site', 'ttl': '29s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC14', 'type': 'A', 'data': '198.185.159.144', 'name': 'feelingmoney.com', 'ttl': '59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC15', 'type': 'A', 'data': '198.49.23.144', 'name': 'feelingmoney.com', 'ttl': '59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC16', 'type': 'A', 'data': '198.185.159.145', 'name': 'feelingmoney.com', 'ttl': '59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC17', 'type': 'A', 'data': '198.49.23.145', 'name': 'feelingmoney.com', 'ttl': '59s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC1B', 'type': 'A', 'data': '139.162.212.131', 'name': 'onlinegt.xyz', 'ttl': '1m48s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC61', 'type': 'A', 'data': '50.31.174.86', 'name': 'smartech.pe', 'ttl': '4m49s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC62', 'type': 'A', 'data': '139.162.212.131', 'name': 'fanmusic.xyz', 'ttl': '2m26s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECC70', 'type': 'A', 'data': '103.224.212.210', 'name': 'zancetom.com', 'ttl': '3m36s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECD36', 'type': 'A', 'data': '3.64.163.50', 'name': 'mobstore.xyz', 'ttl': '12m5s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECD41', 'type': 'A', 'data': '10.10.10.10', 'name': 'mailsystem256.co.cc', 'ttl': '12m42s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECD45', 'type': 'A', 'data': '139.162.212.131', 'name': 'sitestory.xyz', 'ttl': '5m27s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECD77', 'type': 'A', 'data': '139.162.212.131', 'name': 'mobigifs.xyz', 'ttl': '2m55s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECD88', 'type': 'A', 'data': '104.155.138.21', 'name': 'senourth.com', 'ttl': '4m43s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECD89', 'type': 'A', 'data': '107.178.223.183', 'name': 'senourth.com', 'ttl': '4m43s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECD8F', 'type': 'A', 'data': '139.162.212.131', 'name': '1abcnews.xyz', 'ttl': '5m36s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECDC8', 'type': 'A', 'data': '13.33.33.16', 'name': 'dsdfjpjbkxhyv.cloudfront.net', 'ttl': '30s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECDC9', 'type': 'A', 'data': '13.33.33.100', 'name': 'dsdfjpjbkxhyv.cloudfront.net', 'ttl': '30s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECDCA', 'type': 'A', 'data': '13.33.33.97', 'name': 'dsdfjpjbkxhyv.cloudfront.net', 'ttl': '30s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECDCB', 'type': 'A', 'data': '13.33.33.26', 'name': 'dsdfjpjbkxhyv.cloudfront.net', 'ttl': '30s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECE55', 'type': 'A', 'data': '3.64.163.50', 'name': 'myphotos.xyz', 'ttl': '41s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECE6D', 'type': 'A', 'data': '139.162.212.131', 'name': 'dartspeak.xyz', 'ttl': '2m23s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECEC1', 'type': 'A', 'data': '84.16.66.164', 'name': 'caserne.ch', 'ttl': '6m34s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECEF8', 'type': 'A', 'data': '127.0.0.1', 'name': 'phonemus.net', 'ttl': '1m31s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECF0C', 'type': 'A', 'data': '127.0.0.1', 'name': '7standby.com', 'ttl': '52s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECF49', 'type': 'A', 'data': '34.174.61.199', 'name': 'specialword.xyz', 'ttl': '1m51s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECF5D', 'type': 'A', 'data': '127.0.0.1', 'name': 'cloudsond.me', 'ttl': '13s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECF7E', 'type': 'A', 'data': '204.155.149.43', 'name': '4shared.com', 'ttl': '1m55s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECF7F', 'type': 'A', 'data': '204.155.146.95', 'name': '4shared.com', 'ttl': '1m55s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECF80', 'type': 'A', 'data': '204.155.149.42', 'name': '4shared.com', 'ttl': '1m55s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECF81', 'type': 'A', 'data': '204.155.149.41', 'name': '4shared.com', 'ttl': '1m55s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECF89', 'type': 'A', 'data': '91.184.0.52', 'name': 'bouwproductenonline.nl', 'ttl': '7m37s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECFA9', 'type': 'A', 'data': '34.174.78.212', 'name': 'massgames.space', 'ttl': '28s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECFAD', 'type': 'CNAME', 'data': 'smartech.pe', 'name': 'www.smartech.pe', 'ttl': '4m49s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECFBB', 'type': 'A', 'data': '35.204.181.10', 'name': 'bestony.club', 'ttl': '13s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECFCE', 'type': 'A', 'data': '127.0.0.1', 'name': 'spgames.site', 'ttl': '1m46s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECFD4', 'type': 'A', 'data': '204.11.56.48', 'name': 'hitsmoby.com', 'ttl': '2m45s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECFF2', 'type': 'CNAME', 'data': 'dsdfjpjbkxhyv.cloudfront.net', 'name': 'phe-phe.com', 'ttl': '3m20s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECFFC', 'type': 'A', 'data': '127.0.0.1', 'name': 'spacewb.tech', 'ttl': '1m49s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ECFFD', 'type': 'A', 'data': '207.60.34.9', 'name': 'hxlb.net', 'ttl': '4m17s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED003', 'type': 'A', 'data': '127.0.0.1', 'name': 'takebad1.com', 'ttl': '4m23s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED00C', 'type': 'A', 'data': '34.29.71.138', 'name': 'globalmoby.xyz', 'ttl': '3m', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED011', 'type': 'A', 'data': '93.90.145.102', 'name': 'sspab.se', 'ttl': '10m36s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED029', 'type': 'A', 'data': '34.29.71.138', 'name': 'portgame.website', 'ttl': '2m28s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED02C', 'type': 'A', 'data': '34.162.170.92', 'name': 'motinkon.com', 'ttl': '1m54s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED034', 'type': 'A', 'data': '154.216.89.133', 'name': 'bgnt.net', 'ttl': '8m4s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED04C', 'type': 'A', 'data': '203.190.242.211', 'name': 'detik.com', 'ttl': '58s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED04D', 'type': 'A', 'data': '103.49.221.211', 'name': 'detik.com', 'ttl': '58s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED04E', 'type': 'A', 'data': '64.233.170.100', 'name': 'google.com', 'ttl': '8s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED04F', 'type': 'A', 'data': '64.233.170.102', 'name': 'google.com', 'ttl': '8s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED050', 'type': 'A', 'data': '64.233.170.113', 'name': 'google.com', 'ttl': '8s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED051', 'type': 'A', 'data': '64.233.170.138', 'name': 'google.com', 'ttl': '8s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED052', 'type': 'A', 'data': '64.233.170.101', 'name': 'google.com', 'ttl': '8s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
{'.id': '*ED053', 'type': 'A', 'data': '64.233.170.139', 'name': 'google.com', 'ttl': '8s', 'static': False, 'timestamp': '2023-11-21 11:19:06 WIB'}
