{'.id': '*13A8', 'type': 'A', 'data': '159.148.147.244', 'name': 'global-balancer-d.mikrotik.com', 'ttl': '13m5s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*1427', 'type': 'A', 'data': '103.49.221.102', 'name': 'akcdn.detik.net.id', 'ttl': '2m6s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*1428', 'type': 'A', 'data': '203.190.242.102', 'name': 'akcdn.detik.net.id', 'ttl': '2m6s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*142B', 'type': 'CNAME', 'data': 'detik.com', 'name': 'www.detik.com', 'ttl': '1h29m50s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*1439', 'type': 'A', 'data': '203.190.242.172', 'name': 'cdnstatic.detik.com', 'ttl': '17m29s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*143A', 'type': 'A', 'data': '103.49.221.172', 'name': 'cdnstatic.detik.com', 'ttl': '17m29s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*144F', 'type': 'CNAME', 'data': 'e118744.a.akamaiedge.net', 'name': 'mcs.tobsnssdk.com.edgekey.net', 'ttl': '5h7m20s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*1454', 'type': 'A', 'data': '203.190.242.122', 'name': 'mood.detik.com', 'ttl': '3h29m50s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*1455', 'type': 'A', 'data': '103.49.221.122', 'name': 'mood.detik.com', 'ttl': '3h29m50s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*1456', 'type': 'A', 'data': '103.49.221.244', 'name': 'newrevive.detik.com', 'ttl': '3h21m47s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
{'.id': '*1457', 'type': 'A', 'data': '203.190.242.244', 'name': 'newrevive.detik.com', 'ttl': '3h21m47s', 'static': False, 'timestamp': '2023-11-17 16:25:44 WIB'}
