{'.id': '*F7FD1', 'type': 'NS', 'data': 'ns4.google.com', 'name': 'google.com', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F7FD2', 'type': 'NS', 'data': 'ns2.google.com', 'name': 'google.com', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F7FD3', 'type': 'NS', 'data': 'ns3.google.com', 'name': 'google.com', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*F7FD4', 'type': 'NS', 'data': 'ns1.google.com', 'name': 'google.com', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5A7', 'type': 'NS', 'data': 'k.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5A8', 'type': 'NS', 'data': 'b.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5A9', 'type': 'NS', 'data': 'l.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5AA', 'type': 'NS', 'data': 'e.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5AB', 'type': 'NS', 'data': 'm.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5AC', 'type': 'NS', 'data': 'f.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5AD', 'type': 'NS', 'data': 'd.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
{'.id': '*C5D5AE', 'type': 'NS', 'data': 'g.root-servers.net', 'name': '', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-17 11:15:35 WIB'}
